date;debt
2018-06-03;73
2018-06-10;72
2018-06-17;70
2018-06-24;73
2018-07-01;66
2018-07-08;75
2018-07-15;75
2018-07-22;75
2018-07-29;78
2018-08-05;73
2018-08-12;71
2018-08-19;72
2018-08-26;70
2018-09-02;71
2018-09-09;80
2018-09-16;84
2018-09-23;82
2018-09-30;81
2018-10-07;81
2018-10-14;88
2018-10-21;84
2018-10-28;84
2018-11-04;82
2018-11-11;83
2018-11-18;64
2018-11-25;82
2018-12-02;85
2018-12-09;83
2018-12-16;72
2018-12-23;61
2018-12-30;77
2019-01-06;90
2019-01-13;89
2019-01-20;84
2019-01-27;86
2019-02-03;87
2019-02-10;100
2019-02-17;92
2019-02-24;90
2019-03-03;89
2019-03-10;87
2019-03-17;82
2019-03-24;81
2019-03-31;82
2019-04-07;83
2019-04-14;81
2019-04-21;91
2019-04-28;85
2019-05-05;79
2019-05-12;77
2019-05-19;76
2019-05-26;71
