date,debt
1985-01-01,125
1985-02-01,99
1985-03-01,112
1985-04-01,103
1985-05-01,120
1985-06-01,133
1985-07-01,128
1985-08-01,127
1985-09-01,127
1985-10-01,116
1985-11-01,122
1985-12-01,133
1986-01-01,156
1986-02-01,159
1986-03-01,160
1986-04-01,150
1986-05-01,133
1986-06-01,123
1986-07-01,132
1986-08-01,128
1986-09-01,132
1986-10-01,112
1986-11-01,115
1986-12-01,109
1987-01-01,122
1987-02-01,109
1987-03-01,122
1987-04-01,111
1987-05-01,110
1987-06-01,121
1987-07-01,106
1987-08-01,75
1987-09-01,79
1987-10-01,144
1987-11-01,155
1987-12-01,135
1988-01-01,132
1988-02-01,117
1988-03-01,105
1988-04-01,114
1988-05-01,96
1988-06-01,90
1988-07-01,85
1988-08-01,100
1988-09-01,95
1988-10-01,102
1988-11-01,114
1988-12-01,100
1989-01-01,105
1989-02-01,85
1989-03-01,97
1989-04-01,109
1989-05-01,88
1989-06-01,95
1989-07-01,85
1989-08-01,96
1989-09-01,91
1989-10-01,92
1989-11-01,108
1989-12-01,107
1990-01-01,100
1990-02-01,90
1990-03-01,86
1990-04-01,77
1990-05-01,119
1990-06-01,121
1990-07-01,112
1990-08-01,142
1990-09-01,158
1990-10-01,141
1990-11-01,145
1990-12-01,134
1991-01-01,176
1991-02-01,115
1991-03-01,116
1991-04-01,107
1991-05-01,95
1991-06-01,97
1991-07-01,94
1991-08-01,101
1991-09-01,117
1991-10-01,106
1991-11-01,122
1991-12-01,140
1992-01-01,109
1992-02-01,126
1992-03-01,92
1992-04-01,88
1992-05-01,97
1992-06-01,122
1992-07-01,121
1992-08-01,116
1992-09-01,127
1992-10-01,139
1992-11-01,119
1992-12-01,107
1993-01-01,103
1993-02-01,120
1993-03-01,122
1993-04-01,109
1993-05-01,134
1993-06-01,126
1993-07-01,118
1993-08-01,106
1993-09-01,106
1993-10-01,84
1993-11-01,85
1993-12-01,78
1994-01-01,80
1994-02-01,95
1994-03-01,87
1994-04-01,100
1994-05-01,97
1994-06-01,92
1994-07-01,85
1994-08-01,93
1994-09-01,91
1994-10-01,76
1994-11-01,92
1994-12-01,92
1995-01-01,108
1995-02-01,86
1995-03-01,78
1995-04-01,66
1995-05-01,75
1995-06-01,80
1995-07-01,83
1995-08-01,67
1995-09-01,75
1995-10-01,81
1995-11-01,91
1995-12-01,84
1996-01-01,91
1996-02-01,76
1996-03-01,73
1996-04-01,69
1996-05-01,69
1996-06-01,81
1996-07-01,74
1996-08-01,84
1996-09-01,78
1996-10-01,64
1996-11-01,74
1996-12-01,70
1997-01-01,75
1997-02-01,88
1997-03-01,75
1997-04-01,75
1997-05-01,73
1997-06-01,78
1997-07-01,74
1997-08-01,64
1997-09-01,61
1997-10-01,84
1997-11-01,78
1997-12-01,89
1998-01-01,91
1998-02-01,89
